tam,kan,mal,tel
mukkukannati,,mukkukannati,
kankannati,,mukkukannati,
cirukaranti,,ceru karanti,
piccankulal,,piccankulal,
sputnik,sputnik,sputnik,
nulmattam,mule-matta,mattam,
stetiyam,stediyam,srrediyam,
hammam,,hammam,
niraviiyantiram,avi yantra,aviyantram,
tiram vanti,,tram vanti,
stamp,,srramp,
stupi,stupa,stupam,
mottam,motta,mottam,
tonkupalam,,attupalam,
tuvaikkum tuni,,tutaykkunna tuni,
tutaikkum tuni,,tutaykkunna tuni,
svettar,svetar,sverrar,
niccalkulam,,nintalkkulam,
uncal,,unnal,
elutummecai,,eluttumesa,
tapela,tabala,tabala,
kanjira,kanjari,,
kancira,kanjari,,
kattam potta tuni,pappaliya caukuli batte,,
tampattam,,alpattam,
vivekam,viveka,vivekam,
aviveki,aviveka,avivekam,
muttal,murkhatana,,
mutar,murkhatana,,
valavalappu,,valuvalupp,
valukkutal,,valukkal,
alaku,thalaku,,
cauntaryam,saundarya,,
palis,polisu,polis,
niram,,niram,
varnam,banna,varnnam,
vannam,banna,varnnam,
karuppu,kappu,karupp,
civappu,kempu,cuvapp,
mancal,,manna,
paccainiram,,pacca niram,
paccai,,pacca,
nilaniram,nili rangu,nila niram,
cattam,sabda,sabdam,
talam,tala,talam,
karam,khara,,
uppu,uppu,upp,
pulippu,,pulipp,
palavinam,balahina,,
usnam,usnate,usnam,
cutu,,cutu,
katinam,kathinyate,kathinyam,
param,bhara,bharam,
kanam,agala,kanam,
kanakkuraivu,,bharakkurav,
parakkuraivu,,bharakkurav,
palam,bala,,
tiviram,tivravagi,,
intakalam,igina kala,,
nilam,nila,nilam,
acanam,asana,asanam,
camipam,samipa,samipyam,
taram,thara,talam,
curralavu,,curralav,
vicalam,,visalata,
alavu,ala,alav,
alavai,,alav,
alam,ala,alam,
akalam,agala,akalam,
uyaram,,agram,
kettakunam,ketta guna,,
upayokam,upayoga,upabhogam,
rakaciyam,rahasya,rahasyam,
anantam,ananda,anandam,
cantosam,santosa,santosam,
cintanai,cintane,cinta,
varkkam,varga,varggam,
niyamam,niyama,niyamam,
paksam,parsva,vasam,
arputam,apurva,,
pakkam,paksa,paksam,
kuru,guru,guru,
uruvamillata porul,akaravillada-vastu,rupamillatta vastu,
rupamillata porul,akaravillada-vastu,akrtiyillatta vastu,
anumanam,anumana,anumanam,
kutarkkam,kutarka,kutarkkam,
yuttaniti,yuddha niti,yuddhaniti,
namaj,namaju,,
haj,haj,hajj,
arttam,artha,arttham,
porul,,porul,
nayakan,nayakanata,nayakan,
katanayakan,kathanayaka,,
nanavu,nenapu,,
ormai,,ormma,
utaranam,udaharane,udaharanam,
