tam,kan,mal,tel
,sorum,sorum,
,pradarsana malige,pradarsanasala,
,usuku jallada,,isukajalleda
,usuku jallada,,isaka jalleda
,sairan,sairan,haranu
,sairan,sairan,
,sairan,sairan,sairan
,havay-cappali,havayi cerupp,
,sabunu,,sabbu
,solu,sol,
,vega mapaka,,gatimapakam
,caraka,carkka,
,picakari,,picakari
,spring,spring,
,asvasale,vajisala,
,asva-sale,vajisala,asvasala
,kridangana,,kridamaidanam
,lathi,,lathi
,vedike,vedi,vedika
,vedike,vedi,
,stej,,steji
,pratime,,pratima
,ugi hadagu avi doni,avikontu otunna bottu,
,rolar,rolar,
,rolar,rolar,rolaru
,mettilu,,metlu
,spetaskop,,sketaskopu
,bhandara,,bhandagaram
,sakaru iduva dodda sthala,kalannal vaikkunna ara,
,jalantargami,,jalantargami
,sut,sutt,
,uyyale,,uyala
,meju,mesa,
,tebal klat,,bebulklat
,tepu,tepp,
,tepu,tepp,tepu
,tarpalin,tarppolin,
,bodhana samagri,pathanasamagri,bodhanasamagri
,bodhana samanu,pathanasamagri,
,garva,garvv,
,svacetana,atmacetana,
,svacetana,atmacetana,svacetana
,atma cetana,atmacetana,atmacetana
,aslilate,,aslilam
,asabhyate,,asabhyam
,mondutana,,monditanam
,asista,,asistam
,pusta-bhumi,,prstabhumi
,pracinate,,pracinata
,tajatana,,tajadanam
,rupa,rupam,
,jivana-saili,,jivanasaili
,drava,dravatvam,dravarupam
,drava,dravatvam,
,lobha,,lobhamu
,prabha-mandala,prabhamandalam,kantimandalam
,prabha-mandala,prabhamandalam,prabhamandalam
,prabhe mandala,prabhamandalam,
,mirugu,,minuku
,mirugu,,merugu
,kanti,,kanti
,sobhe,sobha,sobha
,sobhe,sobha,
,ramaniya,,ramaniyata
,mrudu,komalatvam,
,komalate,komalatvam,mrdatvam
,mrudu,komalatvam,komalatvam
,rangu,,rangu
,dalimbe huvina banna,matalapuvinre niram niram,
,gulabi banna,,gulabi
,nada,nadam,
,dhvani,dhvanam,dhvani
,dhvani,dhvanam,
,nisyabdha,nisabdata,
,nisyabdha,nisabdata,nissabdata
,nisyabdha,nisabdata,sabdahinata
,madhurya,madhuryam,
,madhurya,madhurima,
,samarasyavillada,,asamanjasam
,karkasate,,karkasatvam
,anunasika,anunasikata,anunasikata
,anunasika,anunasikata,
,bhava-bhangi,bhavagrima,bhavabhangima
,bhava bhangi,bhavagrima,
,hava-bhava,bhavagrima,havabhavalu
,havabhava,bhavagrima,bhavabhangimalu
,curuku,,curuku
,jivanahinate,,acetanam
,jadatva,,jadatvam
,acetana,,cetanahinata
,acetana,,cetanarahityam
,pumsatva,purusatvam,purusatvamu
,pumsatva,purusatvam,
,pumsatva,purusatvam,paurusamu
,pratidhvani,pratidhvani,pratidhvani
,maruli,marroli,
,pratidhvani,pratidhvani,
,usna,,usnamu
,tapa,tapam,
,tapamana,tapam,tapamanamu
,sitala,,sitalamu
,sitala,,sitalata
,sitala,,sitamu
,jhala,jvaram,
,seke,,seka
,jhala,jvala,
,tapamana,tapanila,
,tapamana,tapam,tapam
,jhala,jvaram,jvalam
,tapamana,tapanila,tapanam
,tuka,tukkam,
,bhara,bharakam,
,sahisnu,sahisnuta,
,sahanasila,sahanasakti,sahanasilata
,sahanasila,sahanasakti,
,samarthaka,samarthata,
,samarthaka,samarthata,samardhyam
,vega,vegata,
,vega,vegata,vegamu
,joragi,,joruga
,sandrate,gadhata,sandrata
,sandrate,gadhata,
,daurbalya,durbbalata,
,balahinate,balahinam,
,asaktate,asaktam,
,daurbalya,darbbalyam,
,marmanga-sthala,marmma sthalam,
,kramabadda,,kramapaddati
,krama,,kramamu
,adhunikate,adhunikata,
,adhunika kala,adhunikata,adhunikata
,dirghavada,dirghata,
,dirghavada,dairghyam,
,ksanikate,,ksanikam
,ksipra,,sighram
,mandagati,,mandagati
,rupa,,rupam
,akruti,akaram,akaram
,nambar,nampar,
,parimana,,parimanam
,aparimitate,,aparimitam
,atyadhika,adhikyam,
,atyadhika,adhikyam,atyadhikam
,sankhye,sankhya,-sankhya
,sankhye,sankhya,
,adhikamsa,adhikam bhagam,adhikasatam
,adhikabhaga,adhikam bhagam,adhika bhagamu
,adhikabhaga,adhikam bhagam,
,vistarane,vistrti,vistirnam
,vistarane,vistrti,
,vistarane,vistrti,vistaram
,ksetraphala,,ksetraphalam
,vistara,vistaram,
,ettara,,ettaina
,doddatana,,podavaina
,ucca,uccam,
,durghuna,,cedugunam
,durghuna,,durgunam
,dosa,du,
,avaguna,,avagunam
,nikrustate,nikrstata,nikrstam
,nikrustate,nikrstata,
,hinate,,hinam
,tuccha,,tuccham
,mahatva,mahatvam,
,mahatva,mahatvam,mahatvam
,mahatva,mahatvam,mahatmyam
,maulya,,mulyam
,avanchita,,avanchaniyata
,hita,,hitavu
,ksema,ksemam,
,hita,,hitam
,saukhya,sukham,saukhyam
,anupayogita,upayogarahityam,upayogahinata
,anupayogita,upayogarahityam,
,anavasyakate,,anavasyakata
,upayoga,upayogam,
,dhyana,dhyanayogam,
,dhyana,dhyanam,
,dhyanayoga,dhyanam,dyanayogam
,atma-niriksane,,svayam niriksana
,asambhava,,asambhavam
,duradrustiya,dirghadarsika,duradrstigala
,duradrustiya,dirghadarsika,
,duradrustiya,dirghadarsika,dirghadrstigala
,parijnana,,parijnanam
,nija,nijam,nijam
,nija,nijam,
,satya,satyam,satyam
,yatharthate,yathartthyam,yathartham
,yatharthate,yathartthyam,
,apavada,apabhasanam,apavadam
,apavada,apabhasanam,
,apavada,apabhasanam,apapradha
,saksya,saksi,saksi
,pramana,pramanam,pramanam
,pramana,pramanam,
,prasannate,prasannata,
,vicara,vicaram,
,vicara,vicaram,vicaramu
,bija,,bijam
,stail,,stail
,saili,,saili
,sutra,,sutram
,visesate,savisesata,
,srestha,srestata,
,asadharana,asadharanatvam,
,vicitra,,vicitram
,adbhuta,,adbhutam
,akaravillada-vastu,akaramillatta vastu,
,manadanda,manadandam,
,paramitar,paramirrar,
,vidhi niyama,daivaniscayam,
,daiva niyama,daivaniscayam,daivikaniyamam
,vidhi niyama,daivaniscayam,daivikavidhanam
,vidhi niyama,daivaniscayam,devataniyamam
,daiva niyama,daivaniscayam,daivaniyamam
,ruparekhe,ruparekha,rupurekhalu
,rupa rekhe,ruparekha,
,haj yatre,,hajyatra
,haj yatre,,makkayatra
,bhavane,dharana,bhavana
,bhavane,dharana,nirdharana
,bhavane,dharana,
,bhavane,dharana,bhavam
,bhavane,dharana,avadharamu
,antahkarana,,antaryami
,antahkarana,,antarangam
,antahkarana,,antaratma
,antarala,,antahhrdayam
,antarala,,paramatma
,drusya,drsyam,
,drusthi,drsti,
,drusya,drsyam,drsyam
,smarane,upasmaranam,
,smarane,smarana,
,smruti,smrti,
,smarane,smarana,smarana
,smarane,anusmaranam,
,akankse,,akanksa
,mudhanambike,,mudhanammakam
,maulya,mulyam,
,adarsa,,adarsam
,niti,niti,
,niti,niti,niti
,nyaya,nayam,
,dvaitasiddhanta,dvaita siddhantam,
,rastravada,svarastravadam,
,rastravada,rastravadam,rastravadamu
,rastravada,rastravadam,
,samatavada,samatvavadam,
,samatavada,samanatavadam,
,bhautikavada,bhatikavadam,bhautikavadam
,bhautikavada,bhatikavadam,
,parampara vada,paramparyam,
,paramparavada,paramparyam,parampara
,jivavada,,-jivavadam
,mantra-tantra,,mantratantralu
,uddesa,uddesyam,uddesam
,abhipraya,,abhiprayam
,uddesa,uddesyam,
,samskruti,,samskrti
,jana-sahitya,natan sahityam,
,panditya,pandityam,
,panditya,pandityam,pandityam
,anubhavarahitya,,anubhavahinata
,siddhanta,siddhantam,
,siddhanta,siddhantam,siddhantam
,visaya,visayam,visayam
,pathya-visaya,,-sabjektu
,ganita,ganitam,
,ganitasastra,ganitasastram,
,anka-ganita,ganitasastram,ankaganitam
,anka-vidya,ankaganitam,
,anka vidya,ganitasastram,sankhyaganitam
,bhumiti,bhumiti,
,ksetramiti,ksetramiti,ksetramiti
,jyamiti,jyomiti,
,rekhaganita,rekhaganitam,rekhaganitam
,ksetramiti,ksetramiti,
,bhumiti,bhumiti,bhumiti
,rekhaganita,rekhaganitam,
,sankhyasastra,,sankhyasastram
,jiva sastra,jivasastram,jivasastram
,jiva sastra,jivasastram,
,danta- vijnana,dantacikitsasastram,
,danta- vijnana,dantacikitsasastram,danta cikitsa sastram
,sastracikitsa sastra,,sastra cikitsa sastram
,cikitse sastra,cikitsasastram,
,cikitse sastra,cikitsasastram,cikitsa sastram
,pasu cikitse,mrgacikitsa,
,parisara-vijnana,,vanaspativinnanam
,suksmajivisastra,suksajivisastram,suksmajivana vijnanam
,suksmajiva-vijnana,suksajivisastram,
,suksmajivi-sastra,suksajivisastram,suksmajivasastram
,akrutima vijnana,rupavijnanam,rupavijnanam
,akrutima vijnana,,akrti vijnanam
,naragala sastriya adhyayana,naramp sastra vidagdan,
,prani sastra,jantusastram,
,prani sastra,jivasastram,jantusastram
,injiniyar,enjiniyaring,
,dainamiks,dainamiks,
,calanasastra,calanasastram,
,calanasastra,calanasastram,yantrasastram
,dravabalavijnana,,dravagativijnanam
,bhugarbha-sastra,bhugarbhasastram,
,bhugarbhasastra,bhuvijnaniyam,bhu sastramu
,bhugola-sastra,bhugarbhasastram,bhugarbha sastramu
,bhugolasastra,bhuvijnaniyam,
,bhugola-sastra,bhuvijnaniyam,bhu vijnanamu
,khanija vijnana,khanivijnanam,
,bhugarbha-sastra,bhumisastram,bhugolasastram
,bhugarbha-sastra,bhumisastram,bhaugolika sastram
,bhugola sastra,bhumisastram,
,lohasastra,,loha sastramu
,ai. ti.,,aiti
,manovijnana,manovijnaniyam,manovijnanamu
,manovijnana,atmavijnanam,
,manovijnana,manovijnaniyam,
,pauranika-sastra,,-pauranika sastram
,artha-sastra,artha sastram,arthasastram
,arthasastra,artha sastram,
,samajasastra,samuhya sastram,samaja sastram
,samajasastra,samuhya sastram,samanyasastram
,samajasastra,samuhya sastram,
,saundarya mimamse,sandrya sastram,saundarya sastramu
,saundarya mimamse,sandrya sastram,
,nyayadarsakaru,nyayasastram,nyayatatvam
,nyaya,,nyayam
,nyayadarsakaru,nyayasastram,nyayamimamsa
,nyayadarsakaru,nyayasastram,
,bhasa vijnana,bhasasastram,bhasajnanamu
,bhasa-vijnana,bhasasastram,
,bhasa-vijnana,bhasasastram,bhasa vijnanamu
,vyakarana,vyakaranam,
,vyakarana,vyakaranam,vyakaranam
,devatasastra,,dharmasastram
,pravrutti,,pravrtti
,anapeksita,nispaksata,nirapeksata
,anapeksita,nispaksata,
,anapeksita,nispaksata,anapeksata
,sankucitate,sankucitacinta,
,maryade,,maryada
,adara,adarav,
,drusthikona,,drsti konam
,nirisvaravada,nirisvaravadi,nirisvaravadam
,nirisvaravada,nirisvaravadi,
,advaitavada,,advaitavadam
,ekatmavada,,ekatmavadam
,yoga,yogam,
,bauddha dharma,,bauddadarmam
,sankhya sastra,sakhya sastram,
,pracara-prasara,pracaran-samsthapanam,
,peju,pej,peji
,baraha-samagri,,likhita samagri
,barahasamagri,,lekhana samagri
,lekhanasamagri,,vrata samagri
,samacara patrike,varttamanappatram,samacara patrika
,patrike,,patrika
,pepar,,peparu
,samacara patrike,varttapatrika,
,samacara patrike,varttamanappatram,
,samacara patrike,varttapatrika,varta patrika
,dinada patrike,dinappatram,dinapatrika
,dina patrike,dinappatram,
,dinada samacara patrike,,samacara patram
,teliponu,teliphon,teliphon
,telipon,teliphon,
,duravani,,caravani
,adiyo,odiyo,
,sandarbha,sandarbham,
,sandarbha,sandarbham,sandarbham
,vakya,vacakam,
,sabda,,sabdam
,pada,padam,
,bahuvacana,bahuvacanam,
,bahuvacana,bahuvacanam,bahuvacanam
,ekavacana,ekavacanam,
,ekavacana,ekavacanam,ekavacanam
,dhatu,dhatu,
,dhatu,dhatu,dhatu
,samanarthaka pada,samanartthapadam,samanarthakamu
,paryayapada,paryayapadam,
,paryayapada,paryayapadam,paryayapadalu
,samanarthaka pada,samanartthapadam,
,paryayapada,paryayapadam,paryayamu
,paryayapada,paryayam,
,samanarthaka pada,samanartthapadam,samanarthamu
,upasarga,upasarggam,
,upasarga,upasarggam,upasargam
,vyakarana bheda,vyakaranikabhedam,vayakaranabedham
,vyakarana bheda,vyakaranikabhedam,
,vyakarana bheda,vyakaranikabhedam,vyakaranabhedham
,karmakaraka,,karmakarakam
,padavi,padam,padam
,kriya visesana,kriyavisesanam,kriyavisesam
,kriya visesana,kriyavisesanam,
,kriyapada,kriyapadam,
,visesana,namavisesanam,
,visesana,visesanam,
,visesana,visesanam,visesanamu
,sarvanama,sarvanamam,sarvanamam
,sarvanama,sarvanamam,
,samyojaka,samyojakam,samyojakam
,samyojaka,samyojakam,
,samyojaka pada,,samyojakasabdham
,uttama purusa,,pradhama purusa
,madhyama purusa,madhyamapurusan,
,strilinga,,strilingam
,pullinga,,-pumlingam
,vartamana,varttamanakalam,vartamanam
,vartamana,varttamanakalam,vartamanakalam
,vartamana,varttamanakalam,
,bhavisya kala,bhavisyam,bhavisyattu
,bhavisya,bhavisyam,bhavikalam
,bhavisya,,-bhavisyat kalam
,krudanta,,kudanta
,sakarmaka kriyapada,sakarmmakakriya,sakarmakakriya
,sakarmaka kriyapada,sakarmmakakriya,
,dvikarmaka kriyapada,dvikarmmakakriya,
,akarmaka kriya,akarmmakakriya,akarmakakriya
,akarmaka kriya,akarmmakakriya,
,addahesaru,,addaperu
,kumari,kumari,kumari
,kumari,kumari,
,srimati,srimati,srimati
,srimati,srimati,
,sirsike,,sirsika
,upasisike,upasirsakam,
,upasisike,upasirsakam,upasirsika
,brahmi lipi,brahmilipi,
,brahmi,brahmilipi,brahmilipi
,devanagari lipi,devanagarilipi,
,devanagari lipi,devanagarilipi,devanagarilipi
,citra-lipi,citralipi,citralipi
,citra-lipi,citralipi,
,brel lipi,brel lipi,
,brel lipi,brel lipi,breyili lipi
,sahitya-racane,sahitya racana,
,sahityika kruti,sahitya srsti,sahityaracana
,sahityika racane,sahitya krti,sahitiracana
,sahitya racane,sahitya srsti,
,sahitya-racane,sahitya krti,
,sahitya,sahityam,sahiti
,kalpanika kathe,kalpanikakatha,
,kalpaneya kathe,sankalppikakatha,
,pranayakathe,pranayakatha,
,prema kathe,premakatha,
,premakathe,pranayakatha,premakatha
,kattukathe,kettukatha,
,kathavastu,,kathavastuvu
,gadya,gadyam,
,gadya,gadyam,gadyam
,khanda,kandam,
,ancu,,ancu
,bitta sthala,kalisthalam,khali sthanam
,adhyaya,addhyayanam,
,adhyaya,addhyayanam,adhyayam
,pariccheda,,paricchedam
,adhyaya,abhyasam,
,prastavane,prastthavana,prastavana
,pithike,,pithika
,dairi,,dairi
,hastaksara,,hastaksaramu
,hastaprati,,ratiprati
,hastaprati,,vrataprati
,hastaprati,,-rataprati
,lekhana,lekhanam,
,prabandha,prabandham,
,grantha,grantham,
,buk,bukk,
,cikka pustaka,kaipustakam,
,sabdhakosa,sabdakosam,sabdhakosam
,sabdhakosa,sabdakosam,
,kosa,,kosam
,nighantu,nighantu,nighantuvu
,nighantu,nighantu,
,gaidu,gaid,gaid
,gaidu,gaid,
,stuti,stuti,
,prarthane,prartthana,
,vandane,,vandanam
,prarthane,prartthana,prarthana
,matadana patra,sammatidanapatram,matapatrikalu
,mata patra,sammatidanapatram,
,diplamo pramana patra,,diplama pramanapatram
,karyasuci,,karyasuci
,port pholiyo,portt pholiyo,
,karyakramasuci,,karyakramamu
,varnamale,aksaramala,aksaramala
,varnamale,aksaramala,
,aksaramale,aksaramala,varnamala
,pasport,pasportt,pasport
,pasport,pasportt,
,kapi,koppi,
,prati,,prati
,prarthaneya patra,artthabhanapatram,
,tiket,,tiket
,calan,cellan,
,madhyanisedha,,saranisedhamu
,nirodha,nisedham,
,nirbandha,,nivarana
,nirodha,nisedham,nisedham
,nirodha,nirodhanam,
,varentu,varand,
,runamukti patra,rna mukti patram,
,progryam,program,
,prakasana,,pracurana
,myagajin,magasin,megjainu
,myagajin,magasin,
,anka,,anke
,prasanga,prakaranam,
,antarika artha,antarikamaya arttham,antarlinartham
,antarika artha,antarikamaya arttham,antarangika artham
,antarika-artha,antarikamaya arttham,
,avyakta-bhava,,amrgata bhavam
,saramsa,,saram
,saramsa,saramsam,saramsam
,slesa,slesam,slesa
,slesa,slesam,
,slesa,slesam,slesam
,jnana,jnanam,
,calanacitra,calacitram,
,calanacitra,calacitram,calanacitramu
,karyakrama,,karyakramam
,teligram,,teligram
,post-kard,posrr kad,postkard
,post kard,posrr kad,
,subha-kamane,subhasamsa,subhakanksa
,subha-kamane,subhasamsa,
,atithi satkara,atithi salkkaram,
,atithi satkara,atithi salkkaram,atithisatkaram
,atithi satkara,atithi salkkaram,atithiseva
,atithya,,atithyam
,sucane,sucana,
,sucane,sucana,sucana
,sabdhatantra,,sabdhatantram
,dastaveju,,dastaveju
,vada,vadam,
,carce,carcca,carca
,salahe,,salaha
,danda samhite,,pinalkod
,paramarse,,paramarsa
,guttu,,guttu
,gopya,,gopyamu
,bhandara,bhantaram,bhandagaramu
,bhandara,bhantaram,
,sagara,sagaram,
,mudrana,mudranam,
,mudrana,mudranam,mudrana
,visa,visa,visa
,visa,visa,
,kirti,,kirti
,pas,pass,
,anujna patra,,anumati patram
,pasu,pass,pasu
,jayaghosa,vijayaghosam,
,sipharasu,suparsa,sipharasu
,sipharasu,suparsa,
,mukhastuti,mukhastuti,
,mukhastuti,mukhastuti,mukhastuti
,sraddhanjali,sraddhanjali,
,sraddhanjali,sraddhanjali,sraddhanjali
,prasamsa-patra,prasasti patram,
,kalanka,kalankam,kalankamu
,kalanka,kalankam,
,sapa,,sapena
,saksya,,saksyamu
,aphidavitu,,aphidavit
,sapatha patra,,pramanatram
,sapatha patra,,pratijnapatram
,karana,karanam,
,karana,karanam,karanam
,nepa,,nepamu
,utpatti,vyutpatti,
,utpatti,utpatti,
,utpatti,utpatti,vyutpatti
,uttara,uttaram,
,uttara,uttaram,uttaram
,javabu,,javabu
,bhavisyavani,,bhavisyavani
,atisayokti,atyukti,
,atisayokti,atisayokti,atisayokti
,atisayokti,atisayokti,
,tippani,,tippanam
,tippani,tippani,
,udaharane,uddharanam,
,udaharane,uddharani,
,avalokana,avalokanam,punaravalokanam
,simhavalokana,simhavalokanam,
,sarattu,,saratu
,anukarane,anukaranam,
,vyangya-citra,hasya citram,
,vyangyacitra,hasya citram,vyangyacitram
,anumana,nigamanam,
,nirdesana,nirddesam,
,paka vidhana,,pakavidhanam
,prakatana citi,,prakatana kagitamu
,linga,sivalingam,
,ghata,,ghatankam
,samyuktaksara,kuttaksaram,
,samyuktaksara,kuttaksaram,samyuktaaksaram
,samyukta aksara,kuttaksaram,samyuktaksaram
,virama cihne,virama cihnam,viramacihnam
,virama cihne,virama cihnam,
,madhyada kosthaka,madhya kosthakam,
,alpavirama,alpa virama cihnam,
,alpavirama cihne,alpa viramam,
,alpavirama cihne,alpa virama cihnam,alpaviramam
,ascarya sucaka cihne,ascaryacihnam,ascaryarthakacihnam
,ascarya sucaka cihne,ascaryacihnam,
,purna virama,purnnaviramam,
,prasnarthaka cihne,prasnacihnam,
,prasnarthaka cihne,prasnacihnam,prasnarthakacihnam
,prasnavacaka cihne,prasnacihnam,prasnavacakagurtu
,prasnavacaka cihne,prasnacihnam,prasnavacakacihnam
,uddarana cihne,uddharanacihnam,uddarana cihnam
,uddarana cihne,uddharanacihnam,
,uddarana cihne,uddharani cihnam,
,ardhavirama,ardha viramam,
,ardhavirama cihne,ardha virama cihnam,
,ardhavirama cihne,ardha virama cihnam,ardhaviramacihnam
,mudre,mudra,
,mudre,mudra,mudra
,saptaka,saptakam,
,saptasvara,,saptasvaralu
,sangita svara,,sangita svaram
,dhvani,dhvani,
,netra mudre,netramudra,
,manda hasa,mandahasam,
,manda hasa,mandahasam,cirumandahasam
,rastriya  dhvaja,rastra pataka,jatiyadhvajam
,rastriya  dhvaja,rastra pataka,jatiyapatakam
,rastra dhvaja,rastra pataka,
,pradarsana,prakatanam,
,pradarsana,pradarsanam,
,pradarsana,prastavana,prakatana
,pradarsana,prakatanam,pradarsana
,prastuta,,prastutincuta
,prastuta,,prastutikaranamu
,tayi-bhase,matrbhasa,
,tayi bhase,,talli bhasa
,matrubhase,matrbhasa,amma bhasa
,matru bhase,matrbhasa,matr bhasa
,turki,turkki,
,turkibhase,,tarkibhasa
,turki,tarkki,
,turki,tarkki,tarki
,turki,turkki,turusku
,cina bhase,cainis bhasa,
,cina bhase,cainis bhasa,cainabhasa
,barmi,barmis,barmi
,barmi,barmis,
,thay bhase,tay bhasa,thay bhasa
,thay bhase,tay bhasa,
,phrenc,phrenc,
,urdu,urdu,
,hindi bhase,hindi,hindi
,hindi bhase,hindi,
,assamibhase,,assamibhasa
,assami,assamis,
,assami,asami,
,bangali bhase,bangalibhasa,bengali bhasa
,bangali bhase,bangalibhasa,
,bangali,,bengali
,bangali,banglav,bangala
,odisi,,odissi
,marathi,marathi bhasa,marathi
,marathi,marathi bhasa,marathibasa
,marathi bhase,marathi,
,marathi bhase,marathi bhasa,
,gujaragi-bhase,gujaratti bhasa,
,gujaragi-bhase,gujaratti bhasa,gujarati bhasa
,panjabi,pancabi,panjabi
,panjabi,pancabi,
,indo-aryan,,indoaryan
,indo aryan,,indo aryan
,nepali,neppali,nepali
,nepali,neppali,
,prakruta,prakrtam,
,prakruta bhase,prakrtam,prakrtamu
,prakruta,prakrtam,prakrtabhasa
,pali,pali,
,pali,pali,pali
,pali bhase,,pali bhasa
,parsi bhase,palsi bhasa,pharasi bhasa
,parsi bhase,palsi bhasa,
,yunani-bhase,grikk bhasa,
,grik-bhase,grikk bhasa,griku bhasa
,grik bhase,grikk bhasa,yunani bhasa
,tulu bhase,tulubhasa,
,telagu,telunk,
,telagu,telunk,telungu
,telagu,telunk,-telugu
,telagu,telunk,tenungu
,telagu,telunk,tenugu
,amahairika bhase,amahairikk bhasa,
,arabik bhase,arabi bhasa,arabi bhasa
,arabi,,arabi
,arabik bhase,arabi bhasa,arab bhasa
,arabi bhase,arabi bhasa,
,svaji,svasi,
,sesotho,losotho,
,svaheli-bhase,svahilibhasa,
,kalakruti,kalasrsti,kalakrti
,racanakruti,,racanakrti
,kalakruti,kalasrsti,
,graph,graph,
,graph,graph,graph
,ata,natakam,
,nataka anka,natakankam,
,anka,khantam,
,citrakate,tirakkatha,citrakatha
,citrakathe,tirakkatha,
,sambhasane,paribhasanam,
,sambhasane,sambhasanam,
,samvada,samvadanam,
,sambhasane,samvadam,sambhasana
,samvada,manmasanam,
,sambhasane,samvadam,
,sambhasane,sambhasitam,
,pankti,pankti,pankti
,pankti,pankti,
,sukhantya,,sukhantam
,prahasana,prahasanam,prahasanam
,prahasana,prahasanam,
,duhkhantya nataka,duranta natakam,duhkhanta natakamu
,duhkhantaka nataka,duranta natakam,
,sastriya sangita,sastriyasangitam,
,sastriya sangita,sastriyasangitam,sastriya sangitam
,sanksepate,sanksiptata,
,sabda jala,,padajalamu
,anuprasa alankara,,anuprasa alankaram
,anuprasa,anuprasam,
,punaravartane,,punaruccarana
,parihasa,,parihasamu
,murtikarana,,manavikaranam
,murtikarana,,manavikarana
,upama alankara,,upamanalankaram
,svara,svaram,
,kanthaksara,kanthyaksaram,
,yuddhakahale,yuddha nadam,yuddhasankham
,yuddhakahale,yuddha nadam,
,yuddhakahale,yuddha nadam,yuddhanadam
,yuddhakahale,yuddha nadam,yuddhabheri
,uccarane,uccaranam,uccharana
,uccarane,uccaranam,
,sandhi,sandhi,
,sandhi,sandhi,sandhi
,subhasita,,subhasitalu
,samati,,sameta
,lokokti,,lokokti
,kedukagalendu bayasi aduva matu,dosam varatte ennaprastavam,
,kedukagalendu bayasi aduva matu,asubhamo apato neral,
,abhipraya,abhiprayam,
,spastane,visadikaranam,spastata
,spastikarana,visadikaranam,
,sahamata,sammatam,
,vivada,vivadam,
,vivada,vivadam,vivadamu
,jagala,,jagadam
,jagala,,tagada
,prastava,prastthavana,
,prarthane,abhyartthana,
,prarthane,abhyartthana,prardhana
,vinanti,,vinati
,bhikse,bhiksatanam,
,bhikse,bhiksatanam,bhiksa
,prarthane,prarthana,
,prasne,,prasnamu
,savalu,,savalu
,prasne,,prasna
,prasnepatrike,,prasnapatramu
,prasnepatra,,pariksa patramu
,aksepane,,aksepana
,akasavani,,asariravakku
,riyayiti,,rayiti
,paricaya,,paricayamu
,maks-kard,ripportt kard,
,vruttanta,vrttantam,
,kathe,katha,
,janapada kate,,janapada gatha
,janapada kate,,janapadagata
,janapada kate,,janapada carita
,bala-gite,,balagitam
,sisu gite,sisuganam,
,pratijne,pratijna,
,sapatamadu,sapanam,
,dhanyavada,,dhanyavadalu
,dhanyavada,,dhanyavadamulu
,vyakhyana,vyakhyanam,vyakhyanam
,vyakhyana,vyakhyanam,vyakhya
,vyakhyana,vyakhyanam,
,pratyaropa,,pratyaropana
,sambodane,sambodhana,
,dharmopadesa,dharmmopadesam,
,pracodane,avabodhanam,
,paripatra,,karapatram
,adhikara-tyaga,adhikaram oliyal,adhikaratyagam
,adhikara tyaga,adhikaram oliyal,
,bhogatyaga,,bogatyagam
,namaskara,,namaskaralu
,ghatane,,sanghatana
,ghatane,,ghatana
,subhasubha sucaka,subhasubhasucana,
,olleya-laksana,nallalaksanam,
,asubhalaksana,avalaksanam,
,asubha laksana,asubhalaksanam,
,parivartane,parivarttanam,
,durghatane,,durghatana
,kadgiccu,,karuciccu
,purnagrahana,purnnagrahanam,
,purnagrahana,purnnagrahanam,purnagrahanamu
,pravesa,pravesanam,pravesamu
,sammmisrana,misritam,
,sammmisrana,misranam,
,kolahala,kolahalam,alabalam
,kolahala,kolahalam,kalakilam
,kolahala,kolahalam,kalakalam
,citike,,citika
,gorake,,guraka
,dabadaba sabda,,dhamadhama sabdam
,cum..cum,cum cum,
,antar dhare,,antardhara
,parakasthate,parakastha,
,parakasthate,parakastha,parakasta
,bhukampana,bhucalanam,
,mahamari,mari,
,agni parvata spota,agniparvatasphotanam,
,pragati,,pragati
,pracara,pracaram,
,samarambha,,sambaramu
,prarambhotsava,,prarambhotsavam
,pattabhiseka,rajyabhisekam,
,sistacara,,sistacaram
,aupacarikate,aupacarikata,
,olampik kridakuta,,olimpik kridalu
,ranaji trophi,rancitrophi,
,antima nirnayaka ata,,antima nirnayaka ata
,semiphainal,semi phainal,semi phainal
,upanta-ata,semi phainal,
,saphalate,,saphalam
,vijaya,jayam,
,jaya,jayam,vijayam
,gelavu,,gelupu
,apajaya,ajayyan,parajayam
,apajaya,ajayyan,abhibhavam
,apajaya,ajayyan,parabhavam
,apajaya,ajayyan,paribhavam
,apajaya,ajayyan,
,apajaya,ajayyan,apajayam
,dhana prapti,dhana labham,dhana labham
,dhana prapti,dhana labham,
,murce,,murca
,manobhava,manosvapnam,
,manovega,manovicaram,
,manobhava,manogati,
,manobhava,manobhavam,
,manasika bhava,manasika bhavam,
,manasika bhava,manasika bhavam,manasikabhavana
,bhavavesa,bhavavesam,
,bhavavesa,bhavavesam,bhavavesam
,kama,kamam,
,priti,,priti
,pranaya,pranayam,
,moha,,moham
,prema,premam,prema
,prema,premam,
,kamodvega,,kamodrekam
,kamukate,,kamukatvam
,kamandate,,kamandhata
,asanti,,asanti
,asaukhya,,asaukhyamu
,asakti,,asakti
,abhiruci,abhiruci,
,sodara bhava,,sodarabhavam
,chi,,chi
,krutajnate,krtajnata,krtajnata
,upakara smarane,,upakarasmaranam
,krutajnate,krtajnata,
,abhimana,abhimanam,
,abhimana,bahumanam,abhimanam
,samvedana silate,samvedanasilata,
,viksobha,viksobham,
,viksobha,ksobham,
,viksobha,ksobham,ksobha
,santi,,santi
,bhaya,bhangam,
,bhiti,bhiti,
,bhiti,bhiti,bhiti
